state,tid,spec,result,misc,exp_key,owner,version,book_time,refresh_time,loss,status,params.c_annual,params.c_monthly,params.starting_deviation,params.stick_down_eta,params.strong_side_eta
2,10,,"{'loss': 1.4431073312185567, 'params': {'c_annual': 28.93321681141924, 'c_monthly': 12.727712893202241, 'starting_deviation': 384.0, 'stick_down_eta': 163.56600393275028, 'strong_side_eta': 0.7260614509486452}, 'status': 'ok'}","{'tid': 10, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'c_annual': [10], 'c_monthly': [10], 'starting_deviation': [10], 'stick_down_eta': [10], 'strong_side_eta': [10]}, 'vals': {'c_annual': [28.93321681141924], 'c_monthly': [12.727712893202241], 'starting_deviation': [384.0], 'stick_down_eta': [163.56600393275028], 'strong_side_eta': [0.7260614509486452]}}",,,0,2022-09-17 05:53:47.647,2022-09-17 05:53:53.532,1.4431073312185567,ok,28.93321681141924,12.727712893202241,384.0,163.56600393275028,0.7260614509486452
2,11,,"{'loss': 1.423622041716803, 'params': {'c_annual': 18.16015479755677, 'c_monthly': 25.62798500451654, 'starting_deviation': 269.0, 'stick_down_eta': 71.69630451467282, 'strong_side_eta': 175.82717743960904}, 'status': 'ok'}","{'tid': 11, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'c_annual': [11], 'c_monthly': [11], 'starting_deviation': [11], 'stick_down_eta': [11], 'strong_side_eta': [11]}, 'vals': {'c_annual': [18.16015479755677], 'c_monthly': [25.62798500451654], 'starting_deviation': [269.0], 'stick_down_eta': [71.69630451467282], 'strong_side_eta': [175.82717743960904]}}",,,0,2022-09-17 05:53:53.539,2022-09-17 05:53:59.378,1.423622041716803,ok,18.16015479755677,25.62798500451654,269.0,71.69630451467282,175.82717743960904
2,12,,"{'loss': 1.4225223353018868, 'params': {'c_annual': 24.555510224082166, 'c_monthly': 15.424303164452208, 'starting_deviation': 482.0, 'stick_down_eta': 61.451632777747875, 'strong_side_eta': 176.29568352658822}, 'status': 'ok'}","{'tid': 12, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'c_annual': [12], 'c_monthly': [12], 'starting_deviation': [12], 'stick_down_eta': [12], 'strong_side_eta': [12]}, 'vals': {'c_annual': [24.555510224082166], 'c_monthly': [15.424303164452208], 'starting_deviation': [482.0], 'stick_down_eta': [61.451632777747875], 'strong_side_eta': [176.29568352658822]}}",,,0,2022-09-17 05:53:59.386,2022-09-17 05:54:05.676,1.4225223353018868,ok,24.555510224082166,15.424303164452208,482.0,61.451632777747875,176.29568352658822
2,13,,"{'loss': 1.4199946466242042, 'params': {'c_annual': 39.871940123676424, 'c_monthly': 18.74386436205178, 'starting_deviation': 433.0, 'stick_down_eta': 2.636607127570767, 'strong_side_eta': 105.42196154932142}, 'status': 'ok'}","{'tid': 13, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'c_annual': [13], 'c_monthly': [13], 'starting_deviation': [13], 'stick_down_eta': [13], 'strong_side_eta': [13]}, 'vals': {'c_annual': [39.871940123676424], 'c_monthly': [18.74386436205178], 'starting_deviation': [433.0], 'stick_down_eta': [2.636607127570767], 'strong_side_eta': [105.42196154932142]}}",,,0,2022-09-17 05:54:05.683,2022-09-17 05:54:11.771,1.4199946466242042,ok,39.871940123676424,18.74386436205178,433.0,2.636607127570767,105.42196154932142
2,14,,"{'loss': 1.4392544409430277, 'params': {'c_annual': 13.086840321308058, 'c_monthly': 24.653299013753795, 'starting_deviation': 157.0, 'stick_down_eta': 184.1963456731821, 'strong_side_eta': 127.40680628482531}, 'status': 'ok'}","{'tid': 14, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'c_annual': [14], 'c_monthly': [14], 'starting_deviation': [14], 'stick_down_eta': [14], 'strong_side_eta': [14]}, 'vals': {'c_annual': [13.086840321308058], 'c_monthly': [24.653299013753795], 'starting_deviation': [157.0], 'stick_down_eta': [184.1963456731821], 'strong_side_eta': [127.40680628482531]}}",,,0,2022-09-17 05:54:11.776,2022-09-17 05:54:17.633,1.4392544409430277,ok,13.086840321308058,24.653299013753795,157.0,184.1963456731821,127.40680628482531
2,15,,"{'loss': 1.4319288824065788, 'params': {'c_annual': 1.4442262525667215, 'c_monthly': 36.71879696934683, 'starting_deviation': 216.0, 'stick_down_eta': 128.00200031480495, 'strong_side_eta': 116.6738571283658}, 'status': 'ok'}","{'tid': 15, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'c_annual': [15], 'c_monthly': [15], 'starting_deviation': [15], 'stick_down_eta': [15], 'strong_side_eta': [15]}, 'vals': {'c_annual': [1.4442262525667215], 'c_monthly': [36.71879696934683], 'starting_deviation': [216.0], 'stick_down_eta': [128.00200031480495], 'strong_side_eta': [116.6738571283658]}}",,,0,2022-09-17 05:54:17.643,2022-09-17 05:54:23.534,1.4319288824065788,ok,1.4442262525667215,36.71879696934683,216.0,128.00200031480495,116.6738571283658
2,16,,"{'loss': 1.4216715843232957, 'params': {'c_annual': 6.257459057586817, 'c_monthly': 45.05118751441781, 'starting_deviation': 181.0, 'stick_down_eta': 24.940131854463065, 'strong_side_eta': 103.16642238607933}, 'status': 'ok'}","{'tid': 16, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'c_annual': [16], 'c_monthly': [16], 'starting_deviation': [16], 'stick_down_eta': [16], 'strong_side_eta': [16]}, 'vals': {'c_annual': [6.257459057586817], 'c_monthly': [45.05118751441781], 'starting_deviation': [181.0], 'stick_down_eta': [24.940131854463065], 'strong_side_eta': [103.16642238607933]}}",,,0,2022-09-17 05:54:23.541,2022-09-17 05:54:29.330,1.4216715843232957,ok,6.257459057586817,45.05118751441781,181.0,24.940131854463065,103.16642238607933
2,17,,"{'loss': 1.4319461119104344, 'params': {'c_annual': 34.55558039385863, 'c_monthly': 41.023046400274254, 'starting_deviation': 273.0, 'stick_down_eta': 136.20782493214278, 'strong_side_eta': 138.42209041425377}, 'status': 'ok'}","{'tid': 17, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'c_annual': [17], 'c_monthly': [17], 'starting_deviation': [17], 'stick_down_eta': [17], 'strong_side_eta': [17]}, 'vals': {'c_annual': [34.55558039385863], 'c_monthly': [41.023046400274254], 'starting_deviation': [273.0], 'stick_down_eta': [136.20782493214278], 'strong_side_eta': [138.42209041425377]}}",,,0,2022-09-17 05:54:29.337,2022-09-17 05:54:36.104,1.4319461119104344,ok,34.55558039385863,41.023046400274254,273.0,136.20782493214278,138.42209041425377
2,18,,"{'loss': 1.4359321029515617, 'params': {'c_annual': 47.08723155369876, 'c_monthly': 35.21416544929857, 'starting_deviation': 415.0, 'stick_down_eta': 138.93792687707642, 'strong_side_eta': 57.62768205629627}, 'status': 'ok'}","{'tid': 18, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'c_annual': [18], 'c_monthly': [18], 'starting_deviation': [18], 'stick_down_eta': [18], 'strong_side_eta': [18]}, 'vals': {'c_annual': [47.08723155369876], 'c_monthly': [35.21416544929857], 'starting_deviation': [415.0], 'stick_down_eta': [138.93792687707642], 'strong_side_eta': [57.62768205629627]}}",,,0,2022-09-17 05:54:36.111,2022-09-17 05:54:41.888,1.4359321029515617,ok,47.08723155369876,35.21416544929857,415.0,138.93792687707642,57.62768205629627
2,19,,"{'loss': 1.439386281054771, 'params': {'c_annual': 48.129393887688906, 'c_monthly': 1.0688642424017958, 'starting_deviation': 428.0, 'stick_down_eta': 175.02237969814092, 'strong_side_eta': 79.55717386638506}, 'status': 'ok'}","{'tid': 19, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'c_annual': [19], 'c_monthly': [19], 'starting_deviation': [19], 'stick_down_eta': [19], 'strong_side_eta': [19]}, 'vals': {'c_annual': [48.129393887688906], 'c_monthly': [1.0688642424017958], 'starting_deviation': [428.0], 'stick_down_eta': [175.02237969814092], 'strong_side_eta': [79.55717386638506]}}",,,0,2022-09-17 05:54:41.897,2022-09-17 05:54:47.828,1.439386281054771,ok,48.129393887688906,1.0688642424017958,428.0,175.02237969814092,79.55717386638506
