state,tid,spec,result,misc,exp_key,owner,version,book_time,refresh_time,loss,status,params.c_annual,params.c_monthly,params.starting_deviation,params.strength_eta
2,0,,"{'loss': 1.421178068682036, 'params': {'c_annual': 15.972362551988367, 'c_monthly': 3.4525670436802103, 'starting_deviation': 425.0, 'strength_eta': 90.94021044427443}, 'status': 'ok'}","{'tid': 0, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'c_annual': [0], 'c_monthly': [0], 'starting_deviation': [0], 'strength_eta': [0]}, 'vals': {'c_annual': [15.972362551988367], 'c_monthly': [3.4525670436802103], 'starting_deviation': [425.0], 'strength_eta': [90.94021044427443]}}",,,0,2022-09-17 06:02:44.619,2022-09-17 06:02:44.740,1.421178068682036,ok,15.972362551988367,3.4525670436802103,425.0,90.94021044427443
2,1,,"{'loss': 1.4226143877230604, 'params': {'c_annual': 15.789979674352434, 'c_monthly': 46.64339994239168, 'starting_deviation': 377.0, 'strength_eta': 82.02079177066275}, 'status': 'ok'}","{'tid': 1, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'c_annual': [1], 'c_monthly': [1], 'starting_deviation': [1], 'strength_eta': [1]}, 'vals': {'c_annual': [15.789979674352434], 'c_monthly': [46.64339994239168], 'starting_deviation': [377.0], 'strength_eta': [82.02079177066275]}}",,,0,2022-09-17 06:02:44.748,2022-09-17 06:02:44.867,1.4226143877230604,ok,15.789979674352434,46.64339994239168,377.0,82.02079177066275
2,2,,"{'loss': 1.4199269106836765, 'params': {'c_annual': 47.56119532966646, 'c_monthly': 15.170505494208747, 'starting_deviation': 447.0, 'strength_eta': 167.47767111065684}, 'status': 'ok'}","{'tid': 2, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'c_annual': [2], 'c_monthly': [2], 'starting_deviation': [2], 'strength_eta': [2]}, 'vals': {'c_annual': [47.56119532966646], 'c_monthly': [15.170505494208747], 'starting_deviation': [447.0], 'strength_eta': [167.47767111065684]}}",,,0,2022-09-17 06:02:44.873,2022-09-17 06:02:45.004,1.4199269106836765,ok,47.56119532966646,15.170505494208747,447.0,167.47767111065684
2,3,,"{'loss': 1.4214030292905797, 'params': {'c_annual': 21.66664009351125, 'c_monthly': 5.242957927635178, 'starting_deviation': 463.0, 'strength_eta': 88.96650246023034}, 'status': 'ok'}","{'tid': 3, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'c_annual': [3], 'c_monthly': [3], 'starting_deviation': [3], 'strength_eta': [3]}, 'vals': {'c_annual': [21.66664009351125], 'c_monthly': [5.242957927635178], 'starting_deviation': [463.0], 'strength_eta': [88.96650246023034]}}",,,0,2022-09-17 06:02:45.013,2022-09-17 06:02:45.132,1.4214030292905797,ok,21.66664009351125,5.242957927635178,463.0,88.96650246023034
2,4,,"{'loss': 1.4184169015923789, 'params': {'c_annual': 40.13823905781552, 'c_monthly': 29.902353875606398, 'starting_deviation': 127.0, 'strength_eta': 162.47919767147263}, 'status': 'ok'}","{'tid': 4, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'c_annual': [4], 'c_monthly': [4], 'starting_deviation': [4], 'strength_eta': [4]}, 'vals': {'c_annual': [40.13823905781552], 'c_monthly': [29.902353875606398], 'starting_deviation': [127.0], 'strength_eta': [162.47919767147263]}}",,,0,2022-09-17 06:02:45.138,2022-09-17 06:02:45.266,1.4184169015923789,ok,40.13823905781552,29.902353875606398,127.0,162.47919767147263
2,5,,"{'loss': 1.4191400299238766, 'params': {'c_annual': 35.785663105351645, 'c_monthly': 26.331011856384617, 'starting_deviation': 247.0, 'strength_eta': 159.91068832143458}, 'status': 'ok'}","{'tid': 5, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'c_annual': [5], 'c_monthly': [5], 'starting_deviation': [5], 'strength_eta': [5]}, 'vals': {'c_annual': [35.785663105351645], 'c_monthly': [26.331011856384617], 'starting_deviation': [247.0], 'strength_eta': [159.91068832143458]}}",,,0,2022-09-17 06:02:45.273,2022-09-17 06:02:45.393,1.4191400299238766,ok,35.785663105351645,26.331011856384617,247.0,159.91068832143458
2,6,,"{'loss': 1.4202061969329645, 'params': {'c_annual': 9.421264588271505, 'c_monthly': 8.180358931927511, 'starting_deviation': 473.0, 'strength_eta': 146.80560359711365}, 'status': 'ok'}","{'tid': 6, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'c_annual': [6], 'c_monthly': [6], 'starting_deviation': [6], 'strength_eta': [6]}, 'vals': {'c_annual': [9.421264588271505], 'c_monthly': [8.180358931927511], 'starting_deviation': [473.0], 'strength_eta': [146.80560359711365]}}",,,0,2022-09-17 06:02:45.401,2022-09-17 06:02:45.520,1.4202061969329645,ok,9.421264588271505,8.180358931927511,473.0,146.80560359711365
2,7,,"{'loss': 1.420623377530784, 'params': {'c_annual': 43.71626476672288, 'c_monthly': 17.951146596070195, 'starting_deviation': 399.0, 'strength_eta': 123.41587170046324}, 'status': 'ok'}","{'tid': 7, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'c_annual': [7], 'c_monthly': [7], 'starting_deviation': [7], 'strength_eta': [7]}, 'vals': {'c_annual': [43.71626476672288], 'c_monthly': [17.951146596070195], 'starting_deviation': [399.0], 'strength_eta': [123.41587170046324]}}",,,0,2022-09-17 06:02:45.527,2022-09-17 06:02:45.651,1.420623377530784,ok,43.71626476672288,17.951146596070195,399.0,123.41587170046324
2,8,,"{'loss': 1.4214661086903695, 'params': {'c_annual': 41.88282185302633, 'c_monthly': 24.82333517983583, 'starting_deviation': 464.0, 'strength_eta': 108.68061353806249}, 'status': 'ok'}","{'tid': 8, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'c_annual': [8], 'c_monthly': [8], 'starting_deviation': [8], 'strength_eta': [8]}, 'vals': {'c_annual': [41.88282185302633], 'c_monthly': [24.82333517983583], 'starting_deviation': [464.0], 'strength_eta': [108.68061353806249]}}",,,0,2022-09-17 06:02:45.660,2022-09-17 06:02:45.781,1.4214661086903695,ok,41.88282185302633,24.82333517983583,464.0,108.68061353806249
2,9,,"{'loss': 1.4200096088234775, 'params': {'c_annual': 20.791054378972674, 'c_monthly': 43.582596423160744, 'starting_deviation': 365.0, 'strength_eta': 191.09559726198563}, 'status': 'ok'}","{'tid': 9, 'cmd': ('domain_attachment', 'FMinIter_Domain'), 'workdir': None, 'idxs': {'c_annual': [9], 'c_monthly': [9], 'starting_deviation': [9], 'strength_eta': [9]}, 'vals': {'c_annual': [20.791054378972674], 'c_monthly': [43.582596423160744], 'starting_deviation': [365.0], 'strength_eta': [191.09559726198563]}}",,,0,2022-09-17 06:02:45.788,2022-09-17 06:02:45.907,1.4200096088234775,ok,20.791054378972674,43.582596423160744,365.0,191.09559726198563
